,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,1,2,3,1,1,2,1,1,1,3,2,1,1,2,2,1,1,1,2
1,1,2,1,1,4,2,3,3,3,2,4,3,1,2,4,4,3,3,2,1
2,4,5,2,4,1,1,2,3,2,1,2,2,1,1,1,1,1,1,2,1
3,3,4,2,3,4,4,4,4,5,5,3,4,3,4,5,4,4,4,2,5
4,2,4,2,4,2,1,3,2,2,3,2,2,2,2,2,3,2,2,3,4
5,3,2,1,1,1,1,2,4,2,1,4,4,3,2,2,4,2,2,2,2
6,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1
7,1,1,1,1,3,3,3,1,1,1,1,2,1,1,1,2,2,2,1,2
8,2,4,4,5,2,3,3,2,1,4,4,2,1,3,3,5,4,4,2,4
9,1,1,1,4,1,5,5,3,2,4,3,2,2,3,2,5,3,2,2,2
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,2,2,4,1,4,1,3,4,1,1,1,1,2,1,3,1,1,3,2,1
12,1,3,1,1,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1
13,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1
14,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1
15,3,4,2,3,2,3,2,4,2,4,1,5,2,4,2,4,2,4,3,2
16,3,3,3,2,1,4,4,3,2,4,2,2,3,3,1,4,4,2,3,5
17,1,2,1,3,2,4,2,1,2,1,1,1,1,3,3,5,4,3,4,2
18,2,2,3,1,3,4,4,3,4,2,1,2,2,3,3,4,3,2,2,2
19,2,4,4,4,2,5,4,2,2,1,1,1,2,2,1,4,2,2,2,1
20,1,1,2,1,4,5,2,4,1,4,2,1,3,1,1,2,1,2,1,3
21,3,1,1,2,4,3,2,4,1,1,1,1,2,2,5,1,2,2,1,1
22,2,3,2,3,3,4,2,4,2,1,3,2,3,2,4,2,3,4,2,3
23,1,2,1,2,4,4,2,1,1,1,3,1,1,2,1,4,4,1,4,1
24,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1
25,1,2,2,1,4,2,3,3,3,1,1,1,1,1,3,3,2,3,2,2
26,2,2,3,2,1,3,3,2,1,1,2,2,2,1,2,3,3,2,2,1
27,3,2,2,3,3,4,3,3,3,4,2,2,3,2,2,3,2,3,3,2
28,1,2,2,3,3,3,3,3,2,3,1,2,1,1,2,2,1,3,2,1
29,2,2,3,2,2,4,3,3,2,3,2,3,1,3,4,2,4,2,4,2
30,1,1,2,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1
31,3,5,3,4,5,5,3,4,3,5,5,5,4,4,5,3,5,5,4,2
32,3,4,3,2,4,4,5,4,4,5,1,3,2,3,4,4,4,4,5,5
33,1,2,2,3,4,4,4,4,2,1,2,2,2,3,3,3,2,3,2,1
34,2,3,1,2,1,2,3,1,3,1,3,3,3,4,3,2,3,3,4,2
35,1,3,2,1,2,3,4,2,1,3,1,2,3,2,3,3,3,2,2,2
36,1,1,1,1,1,1,1,2,1,3,3,3,2,3,3,1,2,3,2,3
37,2,3,1,3,2,4,4,1,1,1,3,3,2,4,4,4,5,2,4,5
38,1,1,1,1,2,2,3,2,1,1,2,1,1,2,3,3,1,3,3,1
39,1,1,1,1,2,2,1,1,1,1,3,2,1,1,2,2,1,2,3,1
40,3,4,5,5,4,3,3,2,2,1,5,2,3,4,4,3,3,3,4,1
41,1,2,1,2,3,2,2,2,2,2,2,1,2,1,1,1,3,1,1,1
42,2,2,1,1,3,4,2,3,4,3,1,2,1,2,4,3,2,4,3,4
43,1,3,4,4,3,4,5,5,3,1,4,2,3,2,4,3,4,4,1,2
44,3,2,1,4,1,3,3,4,2,3,2,2,3,4,1,4,4,4,2,3
45,2,3,2,2,2,2,3,3,3,4,4,4,4,3,4,5,4,4,4,5
46,2,3,1,2,3,3,1,4,3,1,4,2,3,2,3,4,2,4,4,3
47,3,4,5,4,4,5,3,3,5,2,5,3,5,4,5,5,3,4,3,3
48,3,3,2,4,4,2,3,4,2,2,3,3,4,4,4,4,4,4,3,3
49,2,4,2,4,5,4,5,5,3,5,4,2,3,3,3,3,3,3,3,3
50,1,2,1,3,4,4,1,4,2,1,4,2,2,3,2,1,2,4,2,1
51,1,3,1,1,3,4,2,2,2,1,1,1,1,1,1,2,2,2,3,1
52,3,3,3,3,3,4,3,3,4,3,3,2,3,3,3,4,3,3,3,4
53,4,2,4,1,2,3,4,2,2,4,3,4,3,1,4,4,1,4,3,4
54,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,3,2,4,1,1
55,4,4,2,4,5,2,5,2,3,3,3,3,3,3,3,3,3,3,3,3
56,1,4,3,2,1,2,3,1,2,1,3,1,2,2,1,3,2,2,4,2
57,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
58,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,2,2,1
59,3,4,3,4,5,5,4,5,3,2,4,4,4,4,5,5,4,5,1,1
60,1,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,1
61,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
62,2,4,4,3,2,4,3,3,2,4,3,3,2,2,4,4,3,2,4,4
63,2,2,2,2,3,1,2,3,2,2,3,4,2,2,2,2,1,2,2,1
