,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,No,No,No,No,No,No,No,Not sure,Not sure,Not sure,No,No,No,Not sure,No,No,No,No,No,Yes
4,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not sure,No,No,No,No
6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,No,No,Not sure,No,Not sure,Not sure,Not sure,Yes,No,Not sure,No,No,No,Not sure,Yes,Yes,No,Yes,No,Not sure
9,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
10,Not sure,Not sure,Not sure,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Not sure,No,Yes,No,Not sure,No,Yes
11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13,Not sure,Not sure,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No
15,Not sure,No,No,No,Not sure,No,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No
16,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes
17,No,No,No,Not sure,Not sure,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19,No,No,No,No,Yes,Not sure,Not sure,Not sure,No,Not sure,No,No,No,No,Yes,Not sure,No,Not sure,No,Not sure
20,No,No,No,No,Not sure,No,No,Not sure,No,Yes,No,No,Not sure,No,Not sure,Yes,No,No,No,Yes
21,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29,No,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
